Sample Barcode,Sample Label,Freezer Name,Rack Name,Box Name,Filter Type (Conditional)
eLP_E01_21w_0002,eLP_E01_21w_0002,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0004,eLP_E01_21w_0004,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0009,eLP_E01_21w_0009,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0010,eLP_E01_21w_0010,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0012,eLP_E01_21w_0012,Kinnison lab (Murray),Additional Penobscot index filters + 4 boxes from machias,supor_2/6/25,Supor
eLP_E01_21w_0015,eLP_E01_21w_0015,Kinnison lab (Murray),Additional Penobscot index filters + 4 boxes from machias,supor_2/6/24,Supor
eLP_E01_21w_0019,eLP_E01_21w_0019,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0020,eLP_E01_21w_0020,Kinnison lab (Murray),Additional Penobscot index filters + 4 boxes from machias,supor_2/6/24,Supor
eLP_E01_21w_0024,eLP_E01_21w_0024,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0027,eLP_E01_21w_0027,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0030,eLP_E01_21w_0030,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
eLP_E01_21w_0031,eLP_E01_21w_0031,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0034,eLP_E01_21w_0034,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0035,eLP_E01_21w_0035,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0043,eLP_E01_21w_0043,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0044,eLP_E01_21w_0044,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0048,eLP_E01_21w_0048,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0049,eLP_E01_21w_0049,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0052,eLP_E01_21w_0052,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0053,eLP_E01_21w_0053,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0055,eLP_E01_21w_0055,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0057,eLP_E01_21w_0057,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0060,eLP_E01_21w_0060,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0061,eLP_E01_21w_0061,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0064,eLP_E01_21w_0064,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0065,eLP_E01_21w_0065,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/17/23,Supor
eLP_E01_21w_0072,eLP_E01_21w_0072,Maine-eDNA (Hitchner),Supor_Rack_2,supor_2/6/23,Supor
